# merge_scores mode=fair doms=ja,code,en weights=ja=1,code=1,en=1
# layer	expert	score	hits	mean
5	68	51.000000	0	0.000000
5	73	50.000000	0	0.000000
5	59	49.000000	0	0.000000
5	39	48.000000	0	0.000000
5	82	47.000000	0	0.000000
5	123	46.000000	0	0.000000
5	117	45.000000	0	0.000000
5	45	44.000000	0	0.000000
5	109	43.000000	0	0.000000
5	24	42.000000	0	0.000000
5	84	41.000000	0	0.000000
5	7	40.000000	0	0.000000
5	76	39.000000	0	0.000000
5	74	38.000000	0	0.000000
5	83	37.000000	0	0.000000
5	72	36.000000	0	0.000000
5	101	35.000000	0	0.000000
5	113	34.000000	0	0.000000
5	124	33.000000	0	0.000000
5	100	32.000000	0	0.000000
5	8	31.000000	0	0.000000
5	94	30.000000	0	0.000000
5	86	29.000000	0	0.000000
5	53	28.000000	0	0.000000
5	104	27.000000	0	0.000000
5	95	26.000000	0	0.000000
5	88	25.000000	0	0.000000
5	67	24.000000	0	0.000000
5	91	23.000000	0	0.000000
5	106	22.000000	0	0.000000
5	36	21.000000	0	0.000000
5	17	20.000000	0	0.000000
5	44	19.000000	0	0.000000
5	19	18.000000	0	0.000000
5	20	17.000000	0	0.000000
5	114	16.000000	0	0.000000
5	23	15.000000	0	0.000000
5	62	14.000000	0	0.000000
5	46	13.000000	0	0.000000
5	32	12.000000	0	0.000000
5	65	11.000000	0	0.000000
5	29	10.000000	0	0.000000
5	52	9.000000	0	0.000000
5	81	8.000000	0	0.000000
5	9	7.000000	0	0.000000
5	120	6.000000	0	0.000000
5	69	5.000000	0	0.000000
5	15	4.000000	0	0.000000
5	21	3.000000	0	0.000000
5	4	2.000000	0	0.000000
5	118	1.000000	0	0.000000
6	104	128.000000	0	0.000000
6	113	127.000000	0	0.000000
6	23	126.000000	0	0.000000
6	89	125.000000	0	0.000000
6	36	124.000000	0	0.000000
6	21	123.000000	0	0.000000
6	63	122.000000	0	0.000000
6	32	121.000000	0	0.000000
6	22	120.000000	0	0.000000
6	59	119.000000	0	0.000000
6	14	118.000000	0	0.000000
6	80	117.000000	0	0.000000
6	56	116.000000	0	0.000000
6	110	115.000000	0	0.000000
6	70	114.000000	0	0.000000
6	100	113.000000	0	0.000000
6	90	112.000000	0	0.000000
6	13	111.000000	0	0.000000
6	51	110.000000	0	0.000000
6	39	109.000000	0	0.000000
6	42	108.000000	0	0.000000
6	115	107.000000	0	0.000000
6	68	106.000000	0	0.000000
6	97	105.000000	0	0.000000
6	123	104.000000	0	0.000000
6	5	103.000000	0	0.000000
6	46	102.000000	0	0.000000
6	127	101.000000	0	0.000000
6	20	100.000000	0	0.000000
6	125	99.000000	0	0.000000
6	45	98.000000	0	0.000000
6	86	97.000000	0	0.000000
6	52	96.000000	0	0.000000
6	40	95.000000	0	0.000000
6	54	94.000000	0	0.000000
6	17	93.000000	0	0.000000
6	105	92.000000	0	0.000000
6	64	91.000000	0	0.000000
6	91	90.000000	0	0.000000
6	41	89.000000	0	0.000000
6	74	88.000000	0	0.000000
6	119	87.000000	0	0.000000
6	81	86.000000	0	0.000000
6	96	85.000000	0	0.000000
6	10	84.000000	0	0.000000
6	60	83.000000	0	0.000000
6	67	82.000000	0	0.000000
6	30	81.000000	0	0.000000
6	34	80.000000	0	0.000000
6	102	79.000000	0	0.000000
6	85	78.000000	0	0.000000
6	27	77.000000	0	0.000000
6	103	76.000000	0	0.000000
6	87	75.000000	0	0.000000
6	35	74.000000	0	0.000000
6	93	73.000000	0	0.000000
6	55	72.000000	0	0.000000
6	26	71.000000	0	0.000000
6	58	70.000000	0	0.000000
6	98	69.000000	0	0.000000
6	99	68.000000	0	0.000000
6	65	67.000000	0	0.000000
6	94	66.000000	0	0.000000
6	78	65.000000	0	0.000000
6	75	64.000000	0	0.000000
6	109	63.000000	0	0.000000
6	83	62.000000	0	0.000000
6	66	61.000000	0	0.000000
6	38	60.000000	0	0.000000
6	8	59.000000	0	0.000000
6	1	58.000000	0	0.000000
6	19	57.000000	0	0.000000
6	79	56.000000	0	0.000000
6	44	55.000000	0	0.000000
6	6	54.000000	0	0.000000
6	111	53.000000	0	0.000000
6	88	52.000000	0	0.000000
6	72	51.000000	0	0.000000
6	77	50.000000	0	0.000000
6	76	49.000000	0	0.000000
6	0	48.000000	0	0.000000
6	116	47.000000	0	0.000000
6	107	46.000000	0	0.000000
6	126	45.000000	0	0.000000
6	62	44.000000	0	0.000000
6	7	43.000000	0	0.000000
6	108	42.000000	0	0.000000
6	71	41.000000	0	0.000000
6	29	40.000000	0	0.000000
6	31	39.000000	0	0.000000
6	24	38.000000	0	0.000000
6	3	37.000000	0	0.000000
6	9	36.000000	0	0.000000
6	25	35.000000	0	0.000000
